yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	isomap:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
XP_013390744.1		A0A1S3I069	A0A1S3I069_LINUN	unreviewed	uncharacterized protein LOC106159097 isoform X2	LOC106159097	Lingula unguis	659	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
XP_002588230.1		C3ZT35	C3ZT35_BRAFL	unreviewed	PHB domain-containing protein	BRAFLDRAFT_124696	Branchiostoma floridae (Florida lancelet) (Amphioxus)	337	integral component of membrane [GO:0016021]	GO:0016021	
XP_019014863.1		A0A1B9IDZ6	A0A1B9IDZ6_9TREE	unreviewed	Uncharacterized protein	I206_00950	Kwoniella pini CBS 10737	1281	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0003676; GO:0005524; GO:0006260; GO:0006281; GO:0006310; GO:0043138	
XP_001632808.1		A7S6G6	A7S6G6_NEMVE	unreviewed	Carboxypeptidase Q (Plasma glutamate carboxypeptidase)	v1g186283	Nematostella vectensis (Starlet sea anemone)	482	extracellular space [GO:0005615]; metallodipeptidase activity [GO:0070573]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	GO:0005615; GO:0006508; GO:0043171; GO:0070573	
XP_009047152.1		V4ADB5	V4ADB5_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_157131	Lottia gigantea (Giant owl limpet)	240			
NP_001088556.1		Q5U4U4	DONS_XENLA	reviewed	Protein downstream neighbor of son homolog	donson	Xenopus laevis (African clawed frog)	579	nucleus [GO:0005634]; replication fork [GO:0005657]; replisome [GO:0030894]; cell division [GO:0051301]; DNA damage checkpoint [GO:0000077]; DNA replication [GO:0006260]; mitotic G2 DNA damage checkpoint [GO:0007095]; multicellular organism development [GO:0007275]; replication fork protection [GO:0048478]	GO:0000077; GO:0005634; GO:0005657; GO:0006260; GO:0007095; GO:0007275; GO:0030894; GO:0048478; GO:0051301	K22422;
XP_013402605.1		A0A1S3IWN8	A0A1S3IWN8_LINUN	unreviewed	centromere protein N-like	LOC106168186	Lingula unguis	285	chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]	GO:0007059; GO:0051382	K11506;
XP_007464611.1		A0A340XTC8	A0A340XTC8_LIPVE	unreviewed	cytochrome c1, heme protein, mitochondrial-like	LOC103081975	Lipotes vexillifer (Yangtze river dolphin)	326	integral component of membrane [GO:0016021]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0009055; GO:0016021; GO:0020037; GO:0046872	K00413;
XP_003220735.1		G1KFI2	G1KFI2_ANOCA	unreviewed	PRP6 homolog (Pre-mRNA-processing factor 6) (U5 snRNP-associated 102 kDa protein)	PRPF6	Anolis carolinensis (Green anole) (American chameleon)	988	catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; androgen receptor binding [GO:0050681]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA localization [GO:0006403]; spliceosomal tri-snRNP complex assembly [GO:0000244]	GO:0000244; GO:0000398; GO:0003713; GO:0003723; GO:0005682; GO:0006403; GO:0016607; GO:0043021; GO:0045944; GO:0046540; GO:0050681; GO:0071005; GO:0071013	K12855;
XP_013414978.2		A0A1S3JX76	A0A1S3JX76_LINUN	unreviewed	uncharacterized protein LOC106176935	LOC106176935	Lingula unguis	1368	nucleus [GO:0005634]; endonuclease activity [GO:0004519]; DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; double-strand break repair via homologous recombination [GO:0000724]	GO:0000724; GO:0004519; GO:0005634; GO:0010792	K20773;
XP_009046469.1		V4AG30	V4AG30_LOTGI	unreviewed	C2H2-type domain-containing protein	LOTGIDRAFT_156957	Lottia gigantea (Giant owl limpet)	700			
XP_013396776.1		A0A1S3IFY6	A0A1S3IFY6_LINUN	unreviewed	uncharacterized protein C20orf85 homolog	LOC106163662	Lingula unguis	136			
XP_004996228.1		F2U351	F2U351_SALR5	unreviewed	Uncharacterized protein	PTSG_11912	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	1325	integral component of membrane [GO:0016021]	GO:0016021	
XP_014341748.1		M3XLE0	M3XLE0_LATCH	unreviewed	HSF_DOMAIN domain-containing protein	HSF5	Latimeria chalumnae (Coelacanth)	612	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0042025; GO:0043565	
XP_002607121.1		C3Y975	C3Y975_BRAFL	unreviewed	PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)	BRAFLDRAFT_68085	Branchiostoma floridae (Florida lancelet) (Amphioxus)	395	cytoplasm [GO:0005737]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic early endosome [GO:0098842]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network membrane [GO:0032588]; phospholipid binding [GO:0005543]; protein domain specific binding [GO:0019904]; protein kinase C binding [GO:0005080]; dendritic spine maintenance [GO:0097062]; dendritic spine organization [GO:0097061]; intracellular protein transport [GO:0006886]; positive regulation of receptor internalization [GO:0002092]; receptor clustering [GO:0043113]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]	GO:0002092; GO:0005080; GO:0005543; GO:0005737; GO:0005886; GO:0006886; GO:0008021; GO:0014069; GO:0019904; GO:0032588; GO:0034315; GO:0043005; GO:0043113; GO:0045202; GO:0097061; GO:0097062; GO:0098842	K24062;
XP_013069387.1		A0A2C9KCF8	A0A2C9KCF8_BIOGL	unreviewed	Uncharacterized protein	106056965	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	836	calcium ion binding [GO:0005509]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]	GO:0004198; GO:0005509	
XP_017348433.1		W5U7V3	W5U7V3_ICTPU	unreviewed	DNA-directed RNA polymerase III subunit RPC9	CRCP crcp	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	146	RNA polymerase III complex [GO:0005666]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; hematopoietic stem cell homeostasis [GO:0061484]; transcription initiation from RNA polymerase III promoter [GO:0006384]	GO:0000166; GO:0003899; GO:0005666; GO:0006384; GO:0061484	
XP_001636677.1		A7RVB2	A7RVB2_NEMVE	unreviewed	Predicted protein	v1g240939	Nematostella vectensis (Starlet sea anemone)	325			
XP_795397.1		W4XAE4	W4XAE4_STRPU	unreviewed	L51_S25_CI-B8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	187	mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005739	K17404;
XP_002599342.1		C3YWW0	C3YWW0_BRAFL	unreviewed	Aminotran_1_2 domain-containing protein	BRAFLDRAFT_113546	Branchiostoma floridae (Florida lancelet) (Amphioxus)	394	mitochondrion [GO:0005739]; glycine C-acetyltransferase activity [GO:0008890]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]; threonine catabolic process [GO:0006567]	GO:0005739; GO:0006567; GO:0008890; GO:0009058; GO:0030170	K00639;
XP_001658336.1		Q172E4	Q172E4_AEDAE	unreviewed	AAEL007410-PA (Inhibitor-2, putative)	5569147 AAEL007410	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	212	protein phosphatase inhibitor activity [GO:0004864]; regulation of signal transduction [GO:0009966]	GO:0004864; GO:0009966	K16833;
XP_009053902.1		V3ZV84	V3ZV84_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_178346	Lottia gigantea (Giant owl limpet)	347			
XP_001639313.1		A7RMD0	A7RMD0_NEMVE	unreviewed	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	MED10 v1g160490	Nematostella vectensis (Starlet sea anemone)	139	mediator complex [GO:0016592]; nucleus [GO:0005634]; transcription coregulator activity [GO:0003712]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0005634; GO:0006357; GO:0016592; GO:0045944	
XP_008704299.1		A0A384DBX0	A0A384DBX0_URSMA	unreviewed	40S ribosomal protein S27	RPS27L	Ursus maritimus (Polar bear) (Thalarctos maritimus)	100	ribosome [GO:0005840]; metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0046872	K02978;
NP_001090849.1		A3KN94	A3KN94_XENTR	unreviewed	Rfx7 protein	rfx7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	1439	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0003700; GO:0005634; GO:0006357	
NP_001298877.1		I4DJK3	I4DJK3_PAPXU	unreviewed	Histidine triad nucleotide-binding protein 1 (Protein kinase C inhibitor)	RR46_12498	Papilio xuthus (Asian swallowtail butterfly)	127	kinase activity [GO:0016301]	GO:0016301	
XP_013397515.1		A0A1S3IGX7	A0A1S3IGX7_LINUN	unreviewed	probable E3 ubiquitin-protein ligase HERC4 isoform X2	LOC106164222	Lingula unguis	1058	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
XP_019770612.1		U4TZ66	U4TZ66_DENPD	unreviewed	Uncharacterized protein	D910_02738	Dendroctonus ponderosae (Mountain pine beetle)	442	O-acyltransferase activity [GO:0008374]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0008374	K06129;
XP_013382568.1		A0A1S3H980	A0A1S3H980_LINUN	unreviewed	pre-piRNA 3'-exonuclease trimmer	LOC106153256	Lingula unguis	538	integral component of membrane [GO:0016021]; exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004527; GO:0016021	K01148;
XP_003455929.1		A0A669BZD0	A0A669BZD0_ORENI	unreviewed	TOG domain-containing protein	ipo5	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	1093			
XP_006009612.1		M3XHS5	M3XHS5_LATCH	unreviewed	WW domain-containing protein	WAC	Latimeria chalumnae (Coelacanth)	540			
XP_002167598.1		T2MJM0	T2MJM0_HYDVU	unreviewed	Tripeptidyl aminopeptidase (EC 3.4.14.9) (Tripeptidyl-peptidase 1) (Tripeptidyl-peptidase I)	TPP1	Hydra vulgaris (Hydra) (Hydra attenuata)	568	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0046872	K01279;
NP_001181159.1		F6S2T2	F6S2T2_MACMU	unreviewed	Haloacid dehalogenase like hydrolase domain containing 5	HDHD5	Macaca mulatta (Rhesus macaque)	423	mitochondrion [GO:0005739]; glycerophospholipid biosynthetic process [GO:0046474]	GO:0005739; GO:0046474	
NP_001181159.1		G7N369	G7N369_MACMU	unreviewed	Cat eye syndrome critical region protein 5	EGK_02762	Macaca mulatta (Rhesus macaque)	423			
XP_002606255.1		C3YBA8	C3YBA8_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_123705	Branchiostoma floridae (Florida lancelet) (Amphioxus)	110			
XP_009049260.1		V4A7X3	V4A7X3_LOTGI	unreviewed	Cytochrome b5 heme-binding domain-containing protein	LOTGIDRAFT_178036	Lottia gigantea (Giant owl limpet)	179			K17278;
XP_001633507.1		A7S4B0	A7S4B0_NEMVE	unreviewed	Predicted protein	v1g166265	Nematostella vectensis (Starlet sea anemone)	317	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	
XP_013821609.1		A0A452EEA6	A0A452EEA6_CAPHI	unreviewed	RecQ-mediated genome instability protein 1	RMI1	Capra hircus (Goat)	624	nuclear body [GO:0016604]; nucleotide binding [GO:0000166]; glucose homeostasis [GO:0042593]; multicellular organism growth [GO:0035264]; reduction of food intake in response to dietary excess [GO:0002023]; response to glucose [GO:0009749]	GO:0000166; GO:0002023; GO:0009749; GO:0016604; GO:0035264; GO:0042593	K10990;
XP_013093253.1		A0A2C9MA40	A0A2C9MA40_BIOGL	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	106077006	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	285			
XP_002112456.1		B3RYA4	B3RYA4_TRIAD	unreviewed	WD_REPEATS_REGION domain-containing protein	TRIADDRAFT_26041	Trichoplax adhaerens (Trichoplax reptans)	563	catalytic step 2 spliceosome [GO:0071013]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0071013	K12816;
XP_002109275.1		B3RNE9	B3RNE9_TRIAD	unreviewed	Uncharacterized protein	TRIADDRAFT_53141	Trichoplax adhaerens (Trichoplax reptans)	202	integral component of membrane [GO:0016021]; vesicle-mediated transport [GO:0016192]	GO:0016021; GO:0016192	
XP_023594531.1		A0A2Y9RLM4	A0A2Y9RLM4_TRIMA	unreviewed	small integral membrane protein 7	LOC101355127	Trichechus manatus latirostris (Florida manatee)	76	integral component of membrane [GO:0016021]	GO:0016021	
XP_019859607.1		A0A1X7THZ9	A0A1X7THZ9_AMPQE	unreviewed	Phage_integrase domain-containing protein	109587826	Amphimedon queenslandica (Sponge)	224	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
XP_013412390.1		A0A1S3JPU1	A0A1S3JPU1_LINUN	unreviewed	uncharacterized protein LOC106175104 isoform X3	LOC106175104	Lingula unguis	347			
XP_015233668.1		A0A3Q2D0J9	A0A3Q2D0J9_CYPVA	unreviewed	Dynactin subunit 6	DCTN6	Cyprinodon variegatus (Sheepshead minnow)	194	dynactin complex [GO:0005869]	GO:0005869	K10428;
XP_022440506.1		A0A2Y9P5K1	A0A2Y9P5K1_DELLE	unreviewed	meckelin isoform X2	TMEM67	Delphinapterus leucas (Beluga whale)	972	integral component of membrane [GO:0016021]; MKS complex [GO:0036038]; cilium assembly [GO:0060271]; negative regulation of centrosome duplication [GO:0010826]	GO:0010826; GO:0016021; GO:0036038; GO:0060271	
XP_019859330.1		A0A1X7TIV5	A0A1X7TIV5_AMPQE	unreviewed	Uncharacterized protein	109587532	Amphimedon queenslandica (Sponge)	164			
XP_013400898.1		A0A1S3IS50	A0A1S3IS50_LINUN	unreviewed	uncharacterized protein LOC106166782	LOC106166782	Lingula unguis	806			
XP_006637965.1		W5MV16	W5MV16_LEPOC	unreviewed	Thymosin beta		Lepisosteus oculatus (Spotted gar)	44	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015]; regulation of cell migration [GO:0030334]; sequestering of actin monomers [GO:0042989]	GO:0003785; GO:0005737; GO:0005856; GO:0007015; GO:0030334; GO:0042989	
XP_012416048.1		A0A2U3ZAM6	A0A2U3ZAM6_ODORO	unreviewed	F-box only protein 8 isoform X3	FBXO8	Odobenus rosmarus divergens (Pacific walrus)	278	ARF guanyl-nucleotide exchange factor activity [GO:0005086]; regulation of ARF protein signal transduction [GO:0032012]	GO:0005086; GO:0032012	
XP_013402438.1		A0A1S3IWK1	A0A1S3IWK1_LINUN	unreviewed	uncharacterized protein LOC106168055	LOC106168055	Lingula unguis	552	zinc ion binding [GO:0008270]	GO:0008270	
XP_011302678.1		A0A0C9R685	A0A0C9R685_9HYME	unreviewed	Epb41l4a protein	Epb41l4a g.40986	Fopius arisanus	736	cytoskeleton [GO:0005856]	GO:0005856	
XP_013883943.1		A0A2I4CVC3	A0A2I4CVC3_9TELE	unreviewed	Spindle and kinetochore-associated protein 3	ska3	Austrofundulus limnaeus	596	condensed chromosome outer kinetochore [GO:0000940]; chromosome segregation [GO:0007059]	GO:0000940; GO:0007059	
XP_007899633.1		A0A4W3I7U6	A0A4W3I7U6_CALMI	unreviewed	Uncharacterized protein	LOC103183787	Callorhinchus milii (Ghost shark)	189	GTP binding [GO:0005525]	GO:0005525	K07937;
XP_013416033.1		A0A1S3K073	A0A1S3K073_LINUN	unreviewed	Sodium/hydrogen exchanger	LOC106177722	Lingula unguis	1196	integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]	GO:0006885; GO:0015385; GO:0016021	
XP_017723862.1		A0A2K6KVC4	A0A2K6KVC4_RHIBE	unreviewed	B-cell translocation gene 1 protein (Protein BTG1)	BTG1	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	165	negative regulation of cell population proliferation [GO:0008285]	GO:0008285	K14443;
XP_018220010.1		A0A0L8RD50	A0A0L8RD50_SACEU	unreviewed	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 DI49_4030	Saccharomyces eubayanus (Yeast)	859	mitochondrial membrane [GO:0031966]; nuclear replication fork [GO:0043596]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; G-quadruplex DNA binding [GO:0051880]; single-stranded DNA binding [GO:0003697]; telomerase inhibitor activity [GO:0010521]; DNA strand renaturation [GO:0000733]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; G-quadruplex DNA unwinding [GO:0044806]; mitochondrial genome maintenance [GO:0000002]; ncRNA transcription [GO:0098781]; negative regulation of telomere maintenance via telomerase [GO:0032211]; replication fork reversal [GO:0071932]; telomere maintenance via recombination [GO:0000722]	GO:0000002; GO:0000722; GO:0000727; GO:0000733; GO:0003697; GO:0005524; GO:0006268; GO:0010521; GO:0031966; GO:0032211; GO:0043139; GO:0043596; GO:0044806; GO:0051880; GO:0071932; GO:0098781	
XP_001640987.1		A7RHW3	A7RHW3_NEMVE	unreviewed	Predicted protein	v1g238389	Nematostella vectensis (Starlet sea anemone)	348	cytosol [GO:0005829]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015]	GO:0003785; GO:0005829; GO:0007015	
XP_012882025.1		A0A1S3G055	A0A1S3G055_DIPOR	unreviewed	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1)	Sh3rf1	Dipodomys ordii (Ord's kangaroo rat)	882	apoptotic process [GO:0006915]; regulation of JNK cascade [GO:0046328]	GO:0006915; GO:0046328	
XP_009060699.1		V4A199	V4A199_LOTGI	unreviewed	Uncharacterized protein (Fragment)	LOTGIDRAFT_88650	Lottia gigantea (Giant owl limpet)	100			
NP_001135681.1		B5DEC1	B5DEC1_XENTR	unreviewed	Uncharacterized protein	phf14	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	927	metal ion binding [GO:0046872]	GO:0046872	
XP_007252498.1		A0A3B1J511	A0A3B1J511_ASTMX	unreviewed	RING-CH-type domain-containing protein	MARCHF3	Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	268	integral component of membrane [GO:0016021]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016021	K10658;
XP_013413108.1		A0A1S3JRS5	A0A1S3JRS5_LINUN	unreviewed	nuclear mitotic apparatus protein 1-like	LOC106175589	Lingula unguis	1546			K16808;
XP_015761196.1		I6L1R4	I6L1R4_ACRDI	unreviewed	Helix-loop-helix protein Adi-pearl	pearl	Acropora digitifera (Staghorn coral)	131	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein dimerization activity [GO:0046983]; negative regulation of transcription, DNA-templated [GO:0045892]	GO:0005634; GO:0005737; GO:0045892; GO:0046983	
XP_015751400.1		A0A0A8K8T2	A0A0A8K8T2_ACRDI	unreviewed	Forkhead box B protein	AdiFoxB	Acropora digitifera (Staghorn coral)	258	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	K09395;
XP_021545881.1		A0A2Y9H2N5	A0A2Y9H2N5_NEOSC	unreviewed	synaptotagmin-6 isoform X1	SYT6	Neomonachus schauinslandi (Hawaiian monk seal) (Monachus schauinslandi)	528	integral component of membrane [GO:0016021]; acrosome reaction [GO:0007340]	GO:0007340; GO:0016021	
XP_006637514.1		W5M5V4	W5M5V4_LEPOC	unreviewed	Glutamine amidotransferase (EC 6.3.5.2)		Lepisosteus oculatus (Spotted gar)	692	cytosol [GO:0005829]; ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; GMP synthase activity [GO:0003921]; pyrophosphatase activity [GO:0016462]; glutamine metabolic process [GO:0006541]; GMP biosynthetic process [GO:0006177]	GO:0003921; GO:0003922; GO:0005524; GO:0005829; GO:0006177; GO:0006541; GO:0016462	
XP_013411159.1		A0A1S3JL75	A0A1S3JL75_LINUN	unreviewed	transmembrane protein 184B isoform X3	LOC106174248	Lingula unguis	448	integral component of membrane [GO:0016021]	GO:0016021	
XP_017310890.1		A0A2D0Q0I6	A0A2D0Q0I6_ICTPU	unreviewed	paired mesoderm homeobox protein 1-like isoform X1	LOC108257538	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	268	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0007275; GO:0043565	K09329;
XP_001624323.1		A7SVP7	A7SVP7_NEMVE	unreviewed	Predicted protein	v1g247673	Nematostella vectensis (Starlet sea anemone)	358	signal transduction [GO:0007165]	GO:0007165	
XP_002191116.2		A0A674HEN2	A0A674HEN2_TAEGU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein	GABBR2	Taeniopygia guttata (Zebra finch) (Poephila guttata)	934			
XP_013117623.1		A0A1I8NMT8	A0A1I8NMT8_STOCA	unreviewed	Uncharacterized protein	106094924	Stomoxys calcitrans (Stable fly) (Conops calcitrans)	188	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	
XP_003097873.1		E3N0Y5	E3N0Y5_CAERE	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	CRE_12953	Caenorhabditis remanei (Caenorhabditis vulgaris)	1433	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	
XP_013415562.1		A0A1S3JZ36	A0A1S3JZ36_LINUN	unreviewed	uncharacterized protein LOC106177367 isoform X1	LOC106177367	Lingula unguis	469			
XP_002611349.1		C3XX99	C3XX99_BRAFL	unreviewed	Formylglycinamide ribonucleotide amidotransferase (EC 6.3.5.3) (Formylglycinamide ribotide amidotransferase)	BRAFLDRAFT_278091	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1337	cytoplasm [GO:0005737]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; purine nucleobase biosynthetic process [GO:0009113]	GO:0004642; GO:0005737; GO:0006189; GO:0006541; GO:0009113	K01952;
XP_018804419.1		A0A0K8W112	A0A0K8W112_BACLA	unreviewed	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	ico_0 c1_g1_i2	Bactrocera latifrons (Malaysian fruit fly) (Chaetodacus latifrons)	744	mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]	GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0070125	
XP_014772431.1		A0A0L8HGR2	A0A0L8HGR2_OCTBM	unreviewed	Methyltransf_11 domain-containing protein	OCBIM_22014905mg	Octopus bimaculoides (California two-spotted octopus)	213	methyltransferase activity [GO:0008168]	GO:0008168	
XP_013092661.1		A0A2C9K0Y5	A0A2C9K0Y5_BIOGL	unreviewed	ATP-binding cassette sub-family G member 2 (EC 7.6.2.2) (Broad substrate specificity ATP-binding cassette transporter ABCG2) (Urate exporter)	106076353	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	518	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0016887; GO:0042626	
XP_009063128.1		V3ZPA1	V3ZPA1_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_220842	Lottia gigantea (Giant owl limpet)	243	integral component of membrane [GO:0016021]	GO:0016021	K06890;
XP_001613876.1		A5K8K3	A5K8K3_PLAVS	unreviewed	Ulp1 protease family, C-terminal catalytic domain containing protein	PVX_100650	Plasmodium vivax (strain Salvador I)	1070	cysteine-type peptidase activity [GO:0008234]	GO:0008234	K08592;
XP_002598708.1		C3YYA1	C3YYA1_BRAFL	unreviewed	Arf-GAP domain-containing protein	BRAFLDRAFT_127749	Branchiostoma floridae (Florida lancelet) (Amphioxus)	282	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]	GO:0005096; GO:0046872	K15044;
XP_013399478.1		A0A1S3IN17	A0A1S3IN17_LINUN	unreviewed	uncharacterized protein LOC106165708 isoform X1	LOC106165708	Lingula unguis	648	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0003723; GO:0046872	
XP_011250918.1		E2A3K6	E2A3K6_CAMFO	unreviewed	Cysteine-rich hydrophobic domain 2 protein	EAG_07897	Camponotus floridanus (Florida carpenter ant)	166			
XP_012300850.1		A0A2K5E9U0	A0A2K5E9U0_AOTNA	unreviewed	RAD52 motif-containing protein 1	RDM1	Aotus nancymaae (Ma's night monkey)	251	RNA binding [GO:0003723]	GO:0003723	
XP_013414120.1		A0A1S3JUS1	A0A1S3JUS1_LINUN	unreviewed	signal recognition particle receptor subunit alpha-like	LOC106176329	Lingula unguis	632	signal recognition particle receptor complex [GO:0005785]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	GO:0003924; GO:0005047; GO:0005525; GO:0005785; GO:0006614	K13431;
XP_001637338.1		A7RTJ4	A7RTJ4_NEMVE	unreviewed	Predicted protein	v1g162513	Nematostella vectensis (Starlet sea anemone)	662	nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; transcription coactivator activity [GO:0003713]; chromatin organization [GO:0006325]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; RNA polymerase II preinitiation complex assembly [GO:0051123]	GO:0000124; GO:0003713; GO:0005634; GO:0005669; GO:0006325; GO:0016251; GO:0046695; GO:0046982; GO:0051123; GO:0060261	
XP_001633282.1		A7S4V4	A7S4V4_NEMVE	unreviewed	Predicted protein	v1g206837	Nematostella vectensis (Starlet sea anemone)	213			
