yourlist:M20200824A94466D2655679D1FD8953E075198DA850B369V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
UPI000F3DB1F7	A0A3M6UR92	A0A3M6UR92_9CNID	unreviewed	PDGF_2 domain-containing protein	pdam_00012101	Pocillopora damicornis	294	integral component of membrane [GO:0016021]; growth factor activity [GO:0008083]	GO:0008083; GO:0016021	
UPI000F3D7630	A0A3M6TLM8	A0A3M6TLM8_9CNID	unreviewed	Uncharacterized protein	pdam_00009859	Pocillopora damicornis	319	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; snRNA binding [GO:0017069]; negative regulation of transcription by RNA polymerase II [GO:0000122]	GO:0000122; GO:0004861; GO:0005634; GO:0005737; GO:0017069	
UPI000C014557	A0A2B4RFR3	A0A2B4RFR3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20611	Stylophora pistillata (Smooth cauliflower coral)	420			
UPI000F3BB389	A0A3M6TIP5	A0A3M6TIP5_9CNID	unreviewed	ENTH domain-containing protein	pdam_00018338	Pocillopora damicornis	542	clathrin coat of endocytic vesicle [GO:0030128]; endocytosis [GO:0006897]	GO:0006897; GO:0030128	
UPI000C0067DA	A0A2B4SL08	A0A2B4SL08_STYPI	unreviewed	Anoctamin	Ano8 AWC38_SpisGene6143	Stylophora pistillata (Smooth cauliflower coral)	700	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3FDE6D	A0A3M6U383	A0A3M6U383_9CNID	unreviewed	ANK_REP_REGION domain-containing protein	pdam_00005370	Pocillopora damicornis	934	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	
UPI00109FBD7E	A0A670KIV9	A0A670KIV9_PODMU	unreviewed	GFA domain-containing protein	CENPV	Podarcis muralis (Wall lizard) (Lacerta muralis)	231			
UPI000F406E8A	A0A3M6TL39	A0A3M6TL39_9CNID	unreviewed	Uncharacterized protein	pdam_00001230	Pocillopora damicornis	438			
UPI0013E1FC8F	A0A6G6K1P2	A0A6G6K1P2_9BACT	unreviewed	DUF4537 domain-containing protein	G5S37_07505	Roseimicrobium sp. ORNL1	274			
UPI000F3C278B	A0A3M6UQN9	A0A3M6UQN9_9CNID	unreviewed	Type I protein arginine methyltransferase (EC 2.1.1.319)	pdam_00015640	Pocillopora damicornis	599	protein-arginine N-methyltransferase activity [GO:0016274]	GO:0016274	
UPI000F3B8579	A0A3M6TNJ9	A0A3M6TNJ9_9CNID	unreviewed	BHLH domain-containing protein	pdam_00001831	Pocillopora damicornis	1073	protein dimerization activity [GO:0046983]	GO:0046983	
UPI000F411E5E	A0A3M6TTJ6	A0A3M6TTJ6_9CNID	unreviewed	Uncharacterized protein	pdam_00019140	Pocillopora damicornis	326	integral component of membrane [GO:0016021]	GO:0016021	
UPI000E45BED7	A0A3Q3MVS6	A0A3Q3MVS6_9TELE	unreviewed	PHD-type domain-containing protein	RSF1	Mastacembelus armatus (zig-zag eel)	1448	RSF complex [GO:0031213]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]	GO:0006355; GO:0031213; GO:0046872	
UPI000F3DE4B7	A0A3M6TVI8	A0A3M6TVI8_9CNID	unreviewed	Uncharacterized protein	pdam_00015709	Pocillopora damicornis	551			
UPI000E45AC50	A0A3Q3NHZ6	A0A3Q3NHZ6_9TELE	unreviewed	Uncharacterized protein		Mastacembelus armatus (zig-zag eel)	958	metalloendopeptidase inhibitor activity [GO:0008191]; negative regulation of metalloendopeptidase activity [GO:1904684]	GO:0008191; GO:1904684	
UPI000C00E7F0	A0A2B4RYX5	A0A2B4RYX5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13486	Stylophora pistillata (Smooth cauliflower coral)	447			
UPI00064D2E4C	A0A6I8QM40	A0A6I8QM40_XENTR	unreviewed	Zinc finger protein 277	znf277	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	442			
UPI000F3D06BE	A0A3M6U603	A0A3M6U603_9CNID	unreviewed	Uncharacterized protein	pdam_00008296	Pocillopora damicornis	1530			
UPI000F3F093D	A0A3M6U5L7	A0A3M6U5L7_9CNID	unreviewed	Uncharacterized protein	pdam_00008305	Pocillopora damicornis	206			
UPI001155A244	A0A673VCJ1	A0A673VCJ1_SURSU	unreviewed	Phospholipase A2 activating protein	PLAA	Suricata suricatta (Meerkat)	796			
UPI000C018001	A0A2B4RI42	A0A2B4RI42_STYPI	unreviewed	Adenosine receptor A2a	ADORA2A AWC38_SpisGene19695	Stylophora pistillata (Smooth cauliflower coral)	367	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000F3F4D30	A0A3M6V9D5	A0A3M6V9D5_9CNID	unreviewed	Uncharacterized protein	pdam_00017427	Pocillopora damicornis	164	calcium ion binding [GO:0005509]	GO:0005509	
UPI000C0082AE	A0A2B4SXZ9	A0A2B4SXZ9_STYPI	unreviewed	Glycosylphosphatidylinositol anchor attachment 1 protein	Gpaa1 AWC38_SpisGene1843	Stylophora pistillata (Smooth cauliflower coral)	660	GPI-anchor transamidase complex [GO:0042765]	GO:0042765	
UPI000F3D11D2	A0A3M6UCX2	A0A3M6UCX2_9CNID	unreviewed	Aa_trans domain-containing protein	pdam_00018804	Pocillopora damicornis	452	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3F619A	A0A3M6TWR1	A0A3M6TWR1_9CNID	unreviewed	Uncharacterized protein	pdam_00015609	Pocillopora damicornis	299	catalytic activity [GO:0003824]	GO:0003824	
UPI000C0197F9	A0A2B4S9Z2	A0A2B4S9Z2_STYPI	unreviewed	Phosphodiesterase (EC 3.1.4.-)	Pde11a AWC38_SpisGene7827	Stylophora pistillata (Smooth cauliflower coral)	934	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	GO:0004114; GO:0007165; GO:0046872	
UPI0009B41F2F	A0A3Q3QKP6	A0A3Q3QKP6_MONAL	unreviewed	Uncharacterized protein		Monopterus albus (Swamp eel)	673			
UPI000B90182A	A0A3Q1GIW2	A0A3Q1GIW2_9TELE	unreviewed	N-glycanase_N domain-containing protein		Acanthochromis polyacanthus (spiny chromis)	669	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]	GO:0016715	
UPI00039417CE	A0A668UUN8	A0A668UUN8_OREAU	unreviewed	Uncharacterized protein		Oreochromis aureus (Israeli tilapia) (Chromis aureus)	258			
UPI000F3C4B72	A0A3M6TV44	A0A3M6TV44_9CNID	unreviewed	WH1 domain-containing protein	pdam_00000768	Pocillopora damicornis	425			
UPI000F3FFF9C	A0A3M6UG03	A0A3M6UG03_9CNID	unreviewed	ZP domain-containing protein	pdam_00021773	Pocillopora damicornis	787			
UPI000F3AC965	A0A3M6TEW6	A0A3M6TEW6_9CNID	unreviewed	Uncharacterized protein	pdam_00018501	Pocillopora damicornis	348			
UPI000EEE4BFD	A0A397FRE3	A0A397FRE3_9MOLU	unreviewed	GTPase IMAP family member 7	GvMRE_Ic2g96	endosymbiont GvMRE of Glomus versiforme	505	GTP binding [GO:0005525]	GO:0005525	
UPI000BBE4E03	A0A3B4T8B2	A0A3B4T8B2_SERDU	unreviewed	LysM domain-containing protein		Seriola dumerili (Greater amberjack) (Caranx dumerili)	228			
UPI000F3B4390	A0A3M6UMD8	A0A3M6UMD8_9CNID	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00018588	Pocillopora damicornis	355	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000C00A4AE	A0A2B4S0U9	A0A2B4S0U9_STYPI	unreviewed	Ubiquitin-conjugating enzyme E2 E1	UBE2E1 AWC38_SpisGene13276	Stylophora pistillata (Smooth cauliflower coral)	190	ATP binding [GO:0005524]; transferase activity [GO:0016740]	GO:0005524; GO:0016740	
UPI000C0162EB	A0A2B4RZ77	A0A2B4RZ77_STYPI	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)	Ogg1 AWC38_SpisGene11672	Stylophora pistillata (Smooth cauliflower coral)	371	damaged DNA binding [GO:0003684]; lyase activity [GO:0016829]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]	GO:0003684; GO:0006284; GO:0006289; GO:0008534; GO:0016829	
UPI000C01B148	A0A2B4SC43	A0A2B4SC43_STYPI	unreviewed	Negative elongation factor C/D	NELFCD AWC38_SpisGene9324	Stylophora pistillata (Smooth cauliflower coral)	569	nucleus [GO:0005634]; translation elongation factor activity [GO:0003746]; negative regulation of transcription, DNA-templated [GO:0045892]	GO:0003746; GO:0005634; GO:0045892	
UPI000C0099AF	A0A2B4SU81	A0A2B4SU81_STYPI	unreviewed	UbiA prenyltransferase domain-containing protein 1	UBIAD1 AWC38_SpisGene3197	Stylophora pistillata (Smooth cauliflower coral)	290	integral component of membrane [GO:0016021]; prenyltransferase activity [GO:0004659]	GO:0004659; GO:0016021	
UPI000E4555C6	A0A3Q1HR89	A0A3Q1HR89_ANATE	unreviewed	Electron transfer flavoprotein subunit alpha (Alpha-ETF)		Anabas testudineus (Climbing perch) (Anthias testudineus)	333	mitochondrial matrix [GO:0005759]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; animal organ morphogenesis [GO:0009887]; mitochondrion morphogenesis [GO:0070584]; regulation of fatty acid beta-oxidation [GO:0031998]	GO:0005759; GO:0009055; GO:0009887; GO:0031998; GO:0050660; GO:0070584	
UPI000C0162D5	A0A2B4SYS8	A0A2B4SYS8_STYPI	unreviewed	KxDL motif-containing protein 1	KXD1 AWC38_SpisGene112	Stylophora pistillata (Smooth cauliflower coral)	351			
UPI000C012F68	A0A2B4SA66	A0A2B4SA66_STYPI	unreviewed	Protein rolling stone	rost AWC38_SpisGene9879	Stylophora pistillata (Smooth cauliflower coral)	296	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3FE6FB	A0A3M6TC60	A0A3M6TC60_9CNID	unreviewed	Uncharacterized protein	pdam_00016429	Pocillopora damicornis	93	integral component of membrane [GO:0016021]; endoribonuclease activity [GO:0004521]	GO:0004521; GO:0016021	
UPI000C006906	A0A2B4S6Y2	A0A2B4S6Y2_STYPI	unreviewed	Zinc transporter ZIP10	Slc39a10 AWC38_SpisGene11168	Stylophora pistillata (Smooth cauliflower coral)	702	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	GO:0016021; GO:0046873	
UPI000C00F38D	A0A2B4SJC1	A0A2B4SJC1_STYPI	unreviewed	Transmembrane protein 183B	TMEM183B AWC38_SpisGene6637	Stylophora pistillata (Smooth cauliflower coral)	367	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F4003E6	A0A3M6TAI3	A0A3M6TAI3_9CNID	unreviewed	Guanylate cyclase (EC 4.6.1.2)	pdam_00011810	Pocillopora damicornis	755	guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]; nucleotide binding [GO:0000166]; intracellular signal transduction [GO:0035556]	GO:0000166; GO:0004383; GO:0020037; GO:0035556	
UPI000BBD5EF2	A0A3B1IFK5	A0A3B1IFK5_ASTMX	unreviewed	Uncharacterized protein		Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	465	argininosuccinate lyase activity [GO:0004056]; arginine biosynthetic process via ornithine [GO:0042450]	GO:0004056; GO:0042450	
UPI000C009944	A0A2B4SRA9	A0A2B4SRA9_STYPI	unreviewed	ER lumen protein-retaining receptor	KDELR2 AWC38_SpisGene4182	Stylophora pistillata (Smooth cauliflower coral)	229	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; ER retention sequence binding [GO:0046923]; protein retention in ER lumen [GO:0006621]; protein transport [GO:0015031]	GO:0005789; GO:0006621; GO:0015031; GO:0016021; GO:0046923	
UPI000F3BBA80	A0A3M6TTJ8	A0A3M6TTJ8_9CNID	unreviewed	PAM2 domain-containing protein	pdam_00019146	Pocillopora damicornis	132	translation repressor activity, mRNA regulatory element binding [GO:0000900]; negative regulation of translational initiation [GO:0045947]	GO:0000900; GO:0045947	
UPI000F3D0C9B	A0A3M6TL65	A0A3M6TL65_9CNID	unreviewed	RRM domain-containing protein	pdam_00001315	Pocillopora damicornis	996	external side of plasma membrane [GO:0009897]; oxidoreductase activity [GO:0016491]; RNA binding [GO:0003723]; ultradian rhythm [GO:0007624]	GO:0003723; GO:0007624; GO:0009897; GO:0016491	
UPI000BBE4D0B	A0A3B4UCM9	A0A3B4UCM9_SERDU	unreviewed	Succinate dehydrogenase assembly factor 3, mitochondrial		Seriola dumerili (Greater amberjack) (Caranx dumerili)	123	mitochondrion [GO:0005739]; mitochondrial respiratory chain complex II assembly [GO:0034553]	GO:0005739; GO:0034553	
UPI000C00134C	A0A2B4STD5	A0A2B4STD5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1112	Stylophora pistillata (Smooth cauliflower coral)	356			
UPI000C00DB23	A0A2B4S9R1	A0A2B4S9R1_STYPI	unreviewed	Csm1 domain-containing protein	AWC38_SpisGene10121	Stylophora pistillata (Smooth cauliflower coral)	476	monopolin complex [GO:0033551]	GO:0033551	
UPI000F3F9195	A0A3M6TFT3	A0A3M6TFT3_9CNID	unreviewed	Uncharacterized protein	pdam_00014341	Pocillopora damicornis	177			
UPI000C00FA1C	A0A2B4RSJ7	A0A2B4RSJ7_STYPI	unreviewed	Battenin	BTN1 AWC38_SpisGene14095	Stylophora pistillata (Smooth cauliflower coral)	441	integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]	GO:0005765; GO:0016021	
UPI000F4162D3	A0A3M6TXE9	A0A3M6TXE9_9CNID	unreviewed	WD repeat and coiled-coil-containing protein	pdam_00002044	Pocillopora damicornis	670			
UPI000384869F	S9WNB3	S9WNB3_CAMFR	unreviewed	Formimidoyltransferase-cyclodeaminase	CB1_001286025	Camelus ferus (Wild bactrian camel) (Camelus bactrianus ferus)	328	folic acid binding [GO:0005542]; transferase activity [GO:0016740]	GO:0005542; GO:0016740	
UPI0003BA6D73	A0A015LCJ9	A0A015LCJ9_RHIIW	unreviewed	Uncharacterized protein	RirG_251860	Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)	775			
UPI0003BA6D73	U9SVU3	U9SVU3_RHIID	unreviewed	Uncharacterized protein	GLOIN_2v1777023 GLOINDRAFT_10823 RIR_1744300	Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) (Arbuscular mycorrhizal fungus) (Glomus intraradices)	775			
UPI000F3DBE85	A0A3M6U988	A0A3M6U988_9CNID	unreviewed	Uncharacterized protein	pdam_00002916	Pocillopora damicornis	206	integral component of membrane [GO:0016021]; calcium-activated potassium channel activity [GO:0015269]	GO:0015269; GO:0016021	
UPI000C010799	A0A2B4RP18	A0A2B4RP18_STYPI	unreviewed	Retinol dehydrogenase 8	RDH8 AWC38_SpisGene17088	Stylophora pistillata (Smooth cauliflower coral)	322	oxidoreductase activity [GO:0016491]	GO:0016491	
UPI000C00D6C7	A0A2B4SQ68	A0A2B4SQ68_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4451	Stylophora pistillata (Smooth cauliflower coral)	297			
UPI000C013019	A0A2B4RQR4	A0A2B4RQR4_STYPI	unreviewed	Transcription initiation factor TFIID subunit 10	Taf10 AWC38_SpisGene15636	Stylophora pistillata (Smooth cauliflower coral)	157	nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; translation initiation factor activity [GO:0003743]; DNA-templated transcription, initiation [GO:0006352]	GO:0003743; GO:0005634; GO:0006352; GO:0046982	
UPI000F3C733E	A0A3M6UVB4	A0A3M6UVB4_9CNID	unreviewed	Uncharacterized protein	pdam_00015911	Pocillopora damicornis	419	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	
UPI000C01091D	A0A2B4RX38	A0A2B4RX38_STYPI	unreviewed	SH3 domain-binding protein 5-like	Sh3bp5l AWC38_SpisGene14121	Stylophora pistillata (Smooth cauliflower coral)	570	intracellular signal transduction [GO:0035556]	GO:0035556	
UPI000C003D8A	A0A2B4RSF8	A0A2B4RSF8_STYPI	unreviewed	60S ribosomal protein L23	Rpl23 AWC38_SpisGene14119	Stylophora pistillata (Smooth cauliflower coral)	140	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	
UPI000F40F8FC	A0A3M6UUY5	A0A3M6UUY5_9CNID	unreviewed	Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8)	pdam_00006962	Pocillopora damicornis	546	endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	GO:0004499; GO:0005789; GO:0050660; GO:0050661	
UPI000B45731A	A0A210QV31	A0A210QV31_MIZYE	unreviewed	E3 ubiquitin-protein ligase LRSAM1	KP79_PYT04050	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	785			
UPI000BBEB353	A0A3B4UU09	A0A3B4UU09_SERDU	unreviewed	Uncharacterized protein		Seriola dumerili (Greater amberjack) (Caranx dumerili)	341	nucleic acid binding [GO:0003676]	GO:0003676	
UPI000BBEB353	A0A3B4X3J2	A0A3B4X3J2_SERLL	unreviewed	Uncharacterized protein		Seriola lalandi dorsalis	341	nucleic acid binding [GO:0003676]	GO:0003676	
UPI000E705060	A0A4Y7IIC9	A0A4Y7IIC9_PAPSO	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	C5167_040166	Papaver somniferum (Opium poppy)	569	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755	
UPI000C00EAA5	A0A2B4SNQ8	A0A2B4SNQ8_STYPI	unreviewed	Synaptotagmin-9	SYT9 AWC38_SpisGene4676	Stylophora pistillata (Smooth cauliflower coral)	463			
UPI000F3B0DA8	A0A3M6UNF1	A0A3M6UNF1_9CNID	unreviewed	Uncharacterized protein	pdam_00018938	Pocillopora damicornis	449	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787	
UPI00005843EC	W4XI86	W4XI86_STRPU	unreviewed	Eukaryotic translation initiation factor 5A (eIF-5A)		Strongylocentrotus purpuratus (Purple sea urchin)	156	ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]	GO:0003746; GO:0006452; GO:0043022; GO:0045901; GO:0045905	
UPI000C00A09A	A0A2B4SEW6	A0A2B4SEW6_STYPI	unreviewed	Coiled-coil domain-containing protein 125	Ccdc125 AWC38_SpisGene6905	Stylophora pistillata (Smooth cauliflower coral)	487	regulation of cell motility [GO:2000145]	GO:2000145	
UPI000C01C3CF	A0A2B4SLH8	A0A2B4SLH8_STYPI	unreviewed	Tolloid-like protein 2	tll2 AWC38_SpisGene4454	Stylophora pistillata (Smooth cauliflower coral)	620	integral component of membrane [GO:0016021]	GO:0016021	
UPI0011C19F31	A0A671W2F8	A0A671W2F8_SPAAU	unreviewed	SURF1-like protein	LOC115592815	Sparus aurata (Gilthead sea bream)	305			
UPI00049D4D28	A0A067RAU1	A0A067RAU1_ZOONE	unreviewed	60S ribosomal protein L30	L798_09351	Zootermopsis nevadensis (Dampwood termite)	114	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0003723; GO:0003735; GO:0022625	
UPI000F417442	A0A3M6UWJ8	A0A3M6UWJ8_9CNID	unreviewed	Uncharacterized protein	pdam_00020414	Pocillopora damicornis	3118	actin binding [GO:0003779]	GO:0003779	
UPI0011761280	A0A667Z666	A0A667Z666_9TELE	unreviewed	Uncharacterized protein	BICD2	Myripristis murdjan (pinecone soldierfish)	861			
UPI000C00DA3F	A0A2B4S451	A0A2B4S451_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11623	Stylophora pistillata (Smooth cauliflower coral)	170			
UPI000B458628	A0A210PIS5	A0A210PIS5_MIZYE	unreviewed	Citrate hydro-lyase (EC 4.2.1.3) (Cytoplasmic aconitate hydratase) (Iron-responsive element-binding protein 1)	KP79_PYT23269	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	889	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; cellular iron ion homeostasis [GO:0006879]; response to iron(II) ion [GO:0010040]	GO:0003994; GO:0005737; GO:0006879; GO:0010040; GO:0051539	
UPI00097F6B70	A0A1R4KDG8	A0A1R4KDG8_9SPHI	unreviewed	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)	FM107_11495	Sphingobacterium sp. JB170	193	hydrolase activity [GO:0016787]; cytokinin biosynthetic process [GO:0009691]	GO:0009691; GO:0016787	
UPI000C01DB15	A0A2B4RVW2	A0A2B4RVW2_STYPI	unreviewed	Mitochondrial carrier-like 2	MTCH2 AWC38_SpisGene15185	Stylophora pistillata (Smooth cauliflower coral)	315	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C01129B	A0A2B4T0T7	A0A2B4T0T7_STYPI	unreviewed	Ankyrin-1	ANK1 AWC38_SpisGene782	Stylophora pistillata (Smooth cauliflower coral)	363			
UPI000F3F64C6	A0A3M6TAM3	A0A3M6TAM3_9CNID	unreviewed	Uncharacterized protein	pdam_00005530	Pocillopora damicornis	518	integral component of membrane [GO:0016021]	GO:0016021	
UPI00109FB32D	A0A670JMV7	A0A670JMV7_PODMU	unreviewed	Uncharacterized protein	STXBP1	Podarcis muralis (Wall lizard) (Lacerta muralis)	603			
UPI000C00E052	A0A2B4SSS0	A0A2B4SSS0_STYPI	unreviewed	Protocadherin-like wing polarity protein stan	stan AWC38_SpisGene1357	Stylophora pistillata (Smooth cauliflower coral)	1974	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016021	
UPI000C001067	A0A2B4RWL5	A0A2B4RWL5_STYPI	unreviewed	NAD-dependent protein deacetylase sirtuin-1	SIRT1 AWC38_SpisGene14917	Stylophora pistillata (Smooth cauliflower coral)	756	NAD+ binding [GO:0070403]	GO:0070403	
UPI000B57ECA1	A0A1Y1NEY7	A0A1Y1NEY7_PHOPY	unreviewed	Uncharacterized protein	PPYR_14898	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	773			
UPI000F3E1553	A0A3M6V575	A0A3M6V575_9CNID	unreviewed	HMG box domain-containing protein	pdam_00006810	Pocillopora damicornis	247	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	
UPI0011C109FF	A0A671UCI8	A0A671UCI8_SPAAU	unreviewed	Uncharacterized protein	LOC115582353	Sparus aurata (Gilthead sea bream)	222			
UPI000F3C9F7E	A0A3M6TIP8	A0A3M6TIP8_9CNID	unreviewed	Ceramide glucosyltransferase (EC 2.4.1.80)	pdam_00013240	Pocillopora damicornis	412	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016021; GO:0016757	
UPI000C01E95C	A0A2B4SS01	A0A2B4SS01_STYPI	unreviewed	Glycosyltransferase-like protein LARGE1	LARGE AWC38_SpisGene3523	Stylophora pistillata (Smooth cauliflower coral)	734	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0016021; GO:0016757	
UPI000C00955D	A0A2B4SUD6	A0A2B4SUD6_STYPI	unreviewed	Cytochrome-b5 reductase (EC 1.6.2.2)	MCR1.1 AWC38_SpisGene3006	Stylophora pistillata (Smooth cauliflower coral)	780	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	GO:0016627; GO:0050660	
UPI000C008F12	A0A2B4S6S5	A0A2B4S6S5_STYPI	unreviewed	Protein phosphatase 1D	Ppm1d AWC38_SpisGene9735	Stylophora pistillata (Smooth cauliflower coral)	413	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004722; GO:0046872	
UPI00129D4B72	A0A669P4T9	A0A669P4T9_PHACC	unreviewed	HBS1-like protein	HBS1L	Phasianus colchicus (Common pheasant)	687			
UPI000C006199	A0A2B4SFT8	A0A2B4SFT8_STYPI	unreviewed	Ceramide phosphoethanolamine synthase	AWC38_SpisGene7633	Stylophora pistillata (Smooth cauliflower coral)	331	integral component of membrane [GO:0016021]	GO:0016021	
UPI0004C00976	A0A091HKQ6	A0A091HKQ6_CALAN	unreviewed	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit)	N300_00568	Calypte anna (Anna's hummingbird) (Archilochus anna)	782	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; RNA binding [GO:0003723]; mRNA cleavage [GO:0006379]; mRNA polyadenylation [GO:0006378]	GO:0003723; GO:0005847; GO:0006378; GO:0006379	
UPI0012BD3C9E	A0A668T1B8	A0A668T1B8_OREAU	unreviewed	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I)		Oreochromis aureus (Israeli tilapia) (Chromis aureus)	414			
UPI000C007DD7	A0A2B4SY58	A0A2B4SY58_STYPI	unreviewed	Palmitoyltransferase (EC 2.3.1.225)	Zdhhc23 AWC38_SpisGene25873	Stylophora pistillata (Smooth cauliflower coral)	372	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706	
UPI000F3DDBFB	A0A3M6UE22	A0A3M6UE22_9CNID	unreviewed	C2 domain-containing protein	pdam_00012180	Pocillopora damicornis	360	membrane [GO:0016020]	GO:0016020	
UPI000F3DA003	A0A3M6V3A7	A0A3M6V3A7_9CNID	unreviewed	NTR domain-containing protein	pdam_00017770	Pocillopora damicornis	233	extracellular region [GO:0005576]; metalloendopeptidase inhibitor activity [GO:0008191]	GO:0005576; GO:0008191	
UPI000C015061	A0A2B4SGU2	A0A2B4SGU2_STYPI	unreviewed	Urease accessory protein G	UREG AWC38_SpisGene7476	Stylophora pistillata (Smooth cauliflower coral)	273	GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]	GO:0003924; GO:0006807; GO:0016151	
UPI000C00B5AC	A0A2B4SS88	A0A2B4SS88_STYPI	unreviewed	Transmembrane protein 120B	Tmem120b AWC38_SpisGene3699	Stylophora pistillata (Smooth cauliflower coral)	346	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C006412	A0A2B4SDW8	A0A2B4SDW8_STYPI	unreviewed	Transmembrane protein 218	TMEM218 AWC38_SpisGene8518	Stylophora pistillata (Smooth cauliflower coral)	121	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C004FAB	A0A2B4SZ84	A0A2B4SZ84_STYPI	unreviewed	Acetyl-CoA acetyltransferase, cytosolic	ACAT2 AWC38_SpisGene1339	Stylophora pistillata (Smooth cauliflower coral)	403	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0016747	
UPI000C01648B	A0A2B4SHW4	A0A2B4SHW4_STYPI	unreviewed	Clavesin-2	clvs2 AWC38_SpisGene7105	Stylophora pistillata (Smooth cauliflower coral)	284			
