yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX27046.1	A0A2B4SCE5	A0A2B4SCE5_STYPI	unreviewed	Transposon Ty3-G Gag-Pol polyprotein	TY3B-G AWC38_SpisGene8273	Stylophora pistillata (Smooth cauliflower coral)	832			
PIK55941.1	A0A2G8L6P6	A0A2G8L6P6_STIJA	unreviewed	Reverse transcriptase domain-containing protein (Fragment)	BSL78_07137	Stichopus japonicus (Sea cucumber)	1038			
PFX22002.1	A0A2B4S0G9	A0A2B4S0G9_STYPI	unreviewed	Contactin-associated protein-like 2	Cntnap2 AWC38_SpisGene13498	Stylophora pistillata (Smooth cauliflower coral)	315	protein localization to juxtaparanode region of axon [GO:0071205]	GO:0071205	
PFX21988.1	A0A2B4S099	A0A2B4S099_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13500	Stylophora pistillata (Smooth cauliflower coral)	104	integral component of membrane [GO:0016021]	GO:0016021	
PFX25870.1	A0A2B4SAM4	A0A2B4SAM4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9493	Stylophora pistillata (Smooth cauliflower coral)	395			
PFX20621.1	A0A2B4RSP1	A0A2B4RSP1_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element (Fragment)	AWC38_SpisGene14920	Stylophora pistillata (Smooth cauliflower coral)	409	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX16093.1	A0A2B4RGY7	A0A2B4RGY7_STYPI	unreviewed	Uncharacterized transposon-derived protein F52C9.6	F52C9.6 AWC38_SpisGene19653	Stylophora pistillata (Smooth cauliflower coral)	942	metal ion binding [GO:0046872]	GO:0046872	
RMX51382.1	A0A3M6UCJ8	A0A3M6UCJ8_9CNID	unreviewed	CBM2 domain-containing protein	pdam_00011349	Pocillopora damicornis	172	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0030247	
PFX25329.1	A0A2B4S8A8	A0A2B4S8A8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10029	Stylophora pistillata (Smooth cauliflower coral)	207			
PFX27359.1	A0A2B4SE46	A0A2B4SE46_STYPI	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	AWC38_SpisGene7933	Stylophora pistillata (Smooth cauliflower coral)	2549	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; zinc ion binding [GO:0008270]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260; GO:0008270	
RMX42980.1	A0A3M6TNM6	A0A3M6TNM6_9CNID	unreviewed	Palmitoyltransferase (EC 2.3.1.225)	pdam_00001865	Pocillopora damicornis	338	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706	
RMX43242.1	A0A3M6TPB0	A0A3M6TPB0_9CNID	unreviewed	Protein VAC14 homolog	pdam_00014564	Pocillopora damicornis	542	PAS complex [GO:0070772]; phosphatidylinositol biosynthetic process [GO:0006661]	GO:0006661; GO:0070772	
PFX16786.1	A0A2B4RHX6	A0A2B4RHX6_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene18919	Stylophora pistillata (Smooth cauliflower coral)	402	integral component of membrane [GO:0016021]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0016021	
PVD27010.1	A0A2T7P0R0	A0A2T7P0R0_POMCA	unreviewed	Uncharacterized protein	C0Q70_12160	Pomacea canaliculata (Golden apple snail)	254			
PFX17946.1	A0A2B4RLA2	A0A2B4RLA2_STYPI	unreviewed	Tyrosine kinase receptor Cad96Ca	Cad96Ca AWC38_SpisGene17720	Stylophora pistillata (Smooth cauliflower coral)	733	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	
RMX53494.1	A0A3M6UIX7	A0A3M6UIX7_9CNID	unreviewed	Uncharacterized protein	pdam_00017353	Pocillopora damicornis	278			
PFX21008.1	A0A2B4RXF3	A0A2B4RXF3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14517	Stylophora pistillata (Smooth cauliflower coral)	599			
PFX30979.1	A0A2B4SPB9	A0A2B4SPB9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4194	Stylophora pistillata (Smooth cauliflower coral)	564			
PFX22071.1	A0A2B4RWS5	A0A2B4RWS5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13412	Stylophora pistillata (Smooth cauliflower coral)	767			
PFX23172.1	A0A2B4S3S5	A0A2B4S3S5_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene12268	Stylophora pistillata (Smooth cauliflower coral)	515	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX22690.1	A0A2B4S1M1	A0A2B4S1M1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12771	Stylophora pistillata (Smooth cauliflower coral)	362			
RMX61442.1	A0A3M6V694	A0A3M6V694_9CNID	unreviewed	Uncharacterized protein	pdam_00023491	Pocillopora damicornis	134			
PFX27132.1	A0A2B4SF19	A0A2B4SF19_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene8165	Stylophora pistillata (Smooth cauliflower coral)	986	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
RUA04680.1	A0A432I391	A0A432I391_9GAMM	unreviewed	C2H2-type domain-containing protein	DSY43_05920	Gammaproteobacteria bacterium	381			
RMX49337.1	A0A3M6U6T7	A0A3M6U6T7_9CNID	unreviewed	TACC_C domain-containing protein	pdam_00014435	Pocillopora damicornis	711	mitotic spindle organization [GO:0007052]	GO:0007052	
PFX24913.1	A0A2B4S787	A0A2B4S787_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)	TY3B-I AWC38_SpisGene10471	Stylophora pistillata (Smooth cauliflower coral)	1118	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074	
RMX45917.1	A0A3M6TWZ9	A0A3M6TWZ9_9CNID	unreviewed	Uncharacterized protein	pdam_00011017	Pocillopora damicornis	348			
PFX11565.1	A0A2B4R5K8	A0A2B4R5K8_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene24653	Stylophora pistillata (Smooth cauliflower coral)	365	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX57261.1	A0A3M6UUC0	A0A3M6UUC0_9CNID	unreviewed	Uncharacterized protein	pdam_00010561	Pocillopora damicornis	598	calcium ion binding [GO:0005509]	GO:0005509	
PFX22262.1	A0A2B4S177	A0A2B4S177_STYPI	unreviewed	Fibropellin-1	EGF1 AWC38_SpisGene13231	Stylophora pistillata (Smooth cauliflower coral)	1982	calcium ion binding [GO:0005509]	GO:0005509	
PFX18074.1	A0A2B4RI57	A0A2B4RI57_STYPI	unreviewed	ABC transporter G family member 9	ABCG9 AWC38_SpisGene17574	Stylophora pistillata (Smooth cauliflower coral)	1522	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	
PFX29807.1	A0A2B4SMR8	A0A2B4SMR8_STYPI	unreviewed	Phage_integrase domain-containing protein	AWC38_SpisGene5451	Stylophora pistillata (Smooth cauliflower coral)	973	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
PFX12875.1	A0A2B4R9B7	A0A2B4R9B7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23092	Stylophora pistillata (Smooth cauliflower coral)	133			
PFX13034.1	A0A2B4R3X1	A0A2B4R3X1_STYPI	unreviewed	P2X purinoceptor 7	P2RX7 AWC38_SpisGene22926	Stylophora pistillata (Smooth cauliflower coral)	220			
PFX15418.1	A0A2B4RGB4	A0A2B4RGB4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20363	Stylophora pistillata (Smooth cauliflower coral)	374			
PFX34383.1	A0A2B4SZ75	A0A2B4SZ75_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene629	Stylophora pistillata (Smooth cauliflower coral)	253			
PFX14422.1	A0A2B4RDU5	A0A2B4RDU5_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene21426	Stylophora pistillata (Smooth cauliflower coral)	392	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX28980.1	A0A2B4SJC9	A0A2B4SJC9_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene6254	Stylophora pistillata (Smooth cauliflower coral)	1961			
RUA07248.1	A0A432IAH7	A0A432IAH7_9GAMM	unreviewed	Uncharacterized protein	DSY43_00295	Gammaproteobacteria bacterium	239			
PFX29456.1	A0A2B4SJC2	A0A2B4SJC2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5756	Stylophora pistillata (Smooth cauliflower coral)	731			
RMX60310.1	A0A3M6V374	A0A3M6V374_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00018795	Pocillopora damicornis	70			
PFX21661.1	A0A2B4RVM7	A0A2B4RVM7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13841	Stylophora pistillata (Smooth cauliflower coral)	922			
RLJ22761.1	A0A497TUC5	A0A497TUC5_9BACT	unreviewed	Reverse transcriptase domain-containing protein	DJ031_00285	bacterium endosymbiont of Escarpia laminata	1227			
RMX51031.1	A0A3M6UBL8	A0A3M6UBL8_9CNID	unreviewed	Uncharacterized protein	pdam_00018453	Pocillopora damicornis	230			
RMX53174.1	A0A3M6UI18	A0A3M6UI18_9CNID	unreviewed	Uncharacterized protein	pdam_00015471	Pocillopora damicornis	145			
RMX60474.1	A0A3M6V423	A0A3M6V423_9CNID	unreviewed	EGF-like domain-containing protein	pdam_00019954	Pocillopora damicornis	331			
PFX31906.1	A0A2B4SRB7	A0A2B4SRB7_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene3266	Stylophora pistillata (Smooth cauliflower coral)	1513	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX18627.1	A0A2B4RQK5	A0A2B4RQK5_STYPI	unreviewed	Haloacid dehalogenase-like hydrolase domain-containing protein 3	HDHD3 AWC38_SpisGene16993	Stylophora pistillata (Smooth cauliflower coral)	530	hydrolase activity [GO:0016787]	GO:0016787	
RMX51013.1	A0A3M6UBG4	A0A3M6UBG4_9CNID	unreviewed	Uncharacterized protein	pdam_00018445	Pocillopora damicornis	72			
PFX18242.1	A0A2B4RPS6	A0A2B4RPS6_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene17407	Stylophora pistillata (Smooth cauliflower coral)	361	nucleic acid binding [GO:0003676]	GO:0003676	
PFX19181.1	A0A2B4RNJ0	A0A2B4RNJ0_STYPI	unreviewed	DDE-1 domain-containing protein	AWC38_SpisGene16416	Stylophora pistillata (Smooth cauliflower coral)	234	nucleic acid binding [GO:0003676]	GO:0003676	
RMX51926.1	A0A3M6UEC0	A0A3M6UEC0_9CNID	unreviewed	Myb-like domain-containing protein	pdam_00012174	Pocillopora damicornis	231			
PFX13441.1	A0A2B4R731	A0A2B4R731_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene22468	Stylophora pistillata (Smooth cauliflower coral)	784	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX48908.1	A0A3M6U621	A0A3M6U621_9CNID	unreviewed	Uncharacterized protein	pdam_00008342	Pocillopora damicornis	249			
PFX33311.1	A0A2B4STT6	A0A2B4STT6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1805	Stylophora pistillata (Smooth cauliflower coral)	70			
PFX33693.1	A0A2B4SX66	A0A2B4SX66_STYPI	unreviewed	52 kDa repressor of the inhibitor of the protein kinase	PRKRIR AWC38_SpisGene1408	Stylophora pistillata (Smooth cauliflower coral)	828	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	GO:0016301; GO:0046983	
EDO42600.1	A7S0T7	A7S0T7_NEMVE	unreviewed	Predicted protein	v1g205040	Nematostella vectensis (Starlet sea anemone)	636			
RUA05657.1	A0A432I5V0	A0A432I5V0_9GAMM	unreviewed	DDE Tnp4 domain-containing protein	DSY43_04185	Gammaproteobacteria bacterium	410			
PFX16593.1	A0A2B4RIG1	A0A2B4RIG1_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene19130	Stylophora pistillata (Smooth cauliflower coral)	1177			
PFX21249.1	A0A2B4RWQ5	A0A2B4RWQ5_STYPI	unreviewed	Retrovirus-related Pol polyprotein	POL AWC38_SpisGene14273	Stylophora pistillata (Smooth cauliflower coral)	1479	metal ion binding [GO:0046872]	GO:0046872	
PFX27391.1	A0A2B4SC00	A0A2B4SC00_STYPI	unreviewed	Integrase_H2C2 domain-containing protein	AWC38_SpisGene7876	Stylophora pistillata (Smooth cauliflower coral)	756			
PFX21322.1	A0A2B4RYJ6	A0A2B4RYJ6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14198	Stylophora pistillata (Smooth cauliflower coral)	267			
PFX16082.1	A0A2B4RIK7	A0A2B4RIK7_STYPI	unreviewed	SWIM-type domain-containing protein	AWC38_SpisGene19680	Stylophora pistillata (Smooth cauliflower coral)	565	zinc ion binding [GO:0008270]	GO:0008270	
PIK40694.1	A0A2G8JY92	A0A2G8JY92_STIJA	unreviewed	Uncharacterized protein	BSL78_22449	Stichopus japonicus (Sea cucumber)	166			
PFX29269.1	A0A2B4SJI6	A0A2B4SJI6_STYPI	unreviewed	ATP-dependent DNA helicase (EC 3.6.4.12)	PIF1 AWC38_SpisGene5982	Stylophora pistillata (Smooth cauliflower coral)	2702	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310	
RMX61054.1	A0A3M6V5R2	A0A3M6V5R2_9CNID	unreviewed	Uncharacterized protein	pdam_00020647	Pocillopora damicornis	345			
ROT64104.1	A0A423SIY6	A0A423SIY6_PENVA	unreviewed	Putative RNA-directed DNA polymerase from mobile element jockey-like	C7M84_017959	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	415	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX16390.1	A0A2B4RIT9	A0A2B4RIT9_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene19342	Stylophora pistillata (Smooth cauliflower coral)	758			
PFX24100.1	A0A2B4S5M8	A0A2B4S5M8_STYPI	unreviewed	Neurogenic differentiation factor 1	neurod1 AWC38_SpisGene11325	Stylophora pistillata (Smooth cauliflower coral)	153	protein dimerization activity [GO:0046983]	GO:0046983	
PFX32619.1	A0A2B4STZ9	A0A2B4STZ9_STYPI	unreviewed	Putative nuclease HARBI1	Harbi1 AWC38_SpisGene2551	Stylophora pistillata (Smooth cauliflower coral)	191			
PFX12233.1	A0A2B4R5Z6	A0A2B4R5Z6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23847	Stylophora pistillata (Smooth cauliflower coral)	1395			
PFX19517.1	A0A2B4RT41	A0A2B4RT41_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16081	Stylophora pistillata (Smooth cauliflower coral)	980			
RMX44383.1	A0A3M6TSK4	A0A3M6TSK4_9CNID	unreviewed	Uncharacterized protein	pdam_00011190	Pocillopora damicornis	79			
PFX23530.1	A0A2B4S423	A0A2B4S423_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11932	Stylophora pistillata (Smooth cauliflower coral)	350			
RMX58659.1	A0A3M6UYJ2	A0A3M6UYJ2_9CNID	unreviewed	Uncharacterized protein	pdam_00021416	Pocillopora damicornis	106			
RMX52804.1	A0A3M6UH05	A0A3M6UH05_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00012225	Pocillopora damicornis	208			
EDO38778.1	A7SBX1	A7SBX1_NEMVE	unreviewed	Predicted protein	v1g244205	Nematostella vectensis (Starlet sea anemone)	1122	Ku70:Ku80 complex [GO:0043564]; nuclear chromosome, telomeric region [GO:0000784]; damaged DNA binding [GO:0003684]; telomeric DNA binding [GO:0042162]; cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; double-strand break repair via nonhomologous end joining [GO:0006303]; telomere maintenance [GO:0000723]	GO:0000723; GO:0000784; GO:0003684; GO:0006303; GO:0042162; GO:0043564; GO:0071480; GO:0071481	
PFX27693.1	A0A2B4SF64	A0A2B4SF64_STYPI	unreviewed	SWIM-type domain-containing protein	AWC38_SpisGene7584	Stylophora pistillata (Smooth cauliflower coral)	382	zinc ion binding [GO:0008270]	GO:0008270	
KOF97872.1	A0A0L8I8U3	A0A0L8I8U3_OCTBM	unreviewed	C2H2-type domain-containing protein	OCBIM_22028140mg	Octopus bimaculoides (California two-spotted octopus)	135			
PFX34568.1	A0A2B4T1A6	A0A2B4T1A6_STYPI	unreviewed	MORC family CW-type zinc finger protein 3	MORC3 AWC38_SpisGene511	Stylophora pistillata (Smooth cauliflower coral)	1426	zinc ion binding [GO:0008270]	GO:0008270	
PFX34098.1	A0A2B4SZX5	A0A2B4SZX5_STYPI	unreviewed	Transient receptor potential cation channel subfamily M member 6	TRPM6 AWC38_SpisGene927	Stylophora pistillata (Smooth cauliflower coral)	399	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
PFX14906.1	A0A2B4RCM0	A0A2B4RCM0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20904	Stylophora pistillata (Smooth cauliflower coral)	561			
RMX57969.1	A0A3M6UWJ2	A0A3M6UWJ2_9CNID	unreviewed	Uncharacterized protein	pdam_00025042	Pocillopora damicornis	671			
EDO46041.1	A7RR29	A7RR29_NEMVE	unreviewed	Predicted protein	v1g240077	Nematostella vectensis (Starlet sea anemone)	528	Ku70:Ku80 complex [GO:0043564]; nuclear chromosome, telomeric region [GO:0000784]; damaged DNA binding [GO:0003684]; telomeric DNA binding [GO:0042162]; cellular response to gamma radiation [GO:0071480]; cellular response to X-ray [GO:0071481]; double-strand break repair via nonhomologous end joining [GO:0006303]; telomere maintenance [GO:0000723]	GO:0000723; GO:0000784; GO:0003684; GO:0006303; GO:0042162; GO:0043564; GO:0071480; GO:0071481	
AOE48155.1	A0A1B3B7F1	A0A1B3B7F1_9ORTH	unreviewed	Uncharacterized protein		Eumigus monticolus	963			
PFX18397.1	A0A2B4RPY3	A0A2B4RPY3_STYPI	unreviewed	Histidine ammonia-lyase	Hal AWC38_SpisGene17243	Stylophora pistillata (Smooth cauliflower coral)	552	lyase activity [GO:0016829]	GO:0016829	
RMX50299.1	A0A3M6U9S6	A0A3M6U9S6_9CNID	unreviewed	Endo/exonuclease/phosphatase domain-containing protein (Fragment)	pdam_00022642	Pocillopora damicornis	573			
RUA04365.1	A0A432I2B0	A0A432I2B0_9GAMM	unreviewed	Reverse transcriptase domain-containing protein	DSY43_06480	Gammaproteobacteria bacterium	599			
RMX57264.1	A0A3M6UUM2	A0A3M6UUM2_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00025687	Pocillopora damicornis	329			
PFX22185.1	A0A2B4S120	A0A2B4S120_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene13302	Stylophora pistillata (Smooth cauliflower coral)	653			
PFX12189.1	A0A2B4R5U4	A0A2B4R5U4_STYPI	unreviewed	DUF5641 domain-containing protein	AWC38_SpisGene23891	Stylophora pistillata (Smooth cauliflower coral)	403			
PFX25912.1	A0A2B4SBJ4	A0A2B4SBJ4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9460	Stylophora pistillata (Smooth cauliflower coral)	358			
PFX20771.1	A0A2B4RT37	A0A2B4RT37_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14762	Stylophora pistillata (Smooth cauliflower coral)	347			
KFM71972.1	A0A087U3N3	A0A087U3N3_STEMI	unreviewed	Pogo transposable element with KRAB (Fragment)	X975_20992	Stegodyphus mimosarum (African social velvet spider)	324	DNA binding [GO:0003677]	GO:0003677	
PFX34155.1	A0A2B4T0I8	A0A2B4T0I8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene932	Stylophora pistillata (Smooth cauliflower coral)	946			
PFX21491.1	A0A2B4RV68	A0A2B4RV68_STYPI	unreviewed	Retrovirus-related Pol polyprotein	POL AWC38_SpisGene14028	Stylophora pistillata (Smooth cauliflower coral)	1162	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX26298.1	A0A2B4SCI3	A0A2B4SCI3_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene9003	Stylophora pistillata (Smooth cauliflower coral)	366	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX30365.1	A0A2B4SPR4	A0A2B4SPR4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4839	Stylophora pistillata (Smooth cauliflower coral)	559			
PFX28869.1	A0A2B4SIC6	A0A2B4SIC6_STYPI	unreviewed	Melanopsin	OPN4 AWC38_SpisGene6367	Stylophora pistillata (Smooth cauliflower coral)	380	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
PFX15760.1	A0A2B4RGZ8	A0A2B4RGZ8_STYPI	unreviewed	PiggyBac transposable element-derived protein 5	PGBD5 AWC38_SpisGene20022	Stylophora pistillata (Smooth cauliflower coral)	1072			
PFX13591.1	A0A2B4R7H2	A0A2B4R7H2_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene22313	Stylophora pistillata (Smooth cauliflower coral)	629	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	
PFX24853.1	A0A2B4S728	A0A2B4S728_STYPI	unreviewed	Retrovirus-related Pol polyprotein	POL AWC38_SpisGene10531	Stylophora pistillata (Smooth cauliflower coral)	976	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX21258.1	A0A2B4RY46	A0A2B4RY46_STYPI	unreviewed	Guanylate cyclase 32E	Gyc32E AWC38_SpisGene14262	Stylophora pistillata (Smooth cauliflower coral)	338	integral component of membrane [GO:0016021]; lyase activity [GO:0016829]; nucleotide binding [GO:0000166]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	GO:0000166; GO:0009190; GO:0016021; GO:0016829; GO:0035556	
PFX21259.1	A0A2B4RWR6	A0A2B4RWR6_STYPI	unreviewed	AP complex subunit beta	Ap4b1 AWC38_SpisGene14263	Stylophora pistillata (Smooth cauliflower coral)	787	clathrin adaptor complex [GO:0030131]; clathrin binding [GO:0030276]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192; GO:0030131; GO:0030276	
PFX34413.1	A0A2B4SZ99	A0A2B4SZ99_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene731	Stylophora pistillata (Smooth cauliflower coral)	586	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
ROT73911.1	A0A3R7P2V0	A0A3R7P2V0_PENVA	unreviewed	Endo/exonuclease/phosphatase domain-containing protein	C7M84_007618	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	489			
PFX27431.1	A0A2B4SC44	A0A2B4SC44_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene7861	Stylophora pistillata (Smooth cauliflower coral)	114			
BAS22110.1	A0A0K2S4S8	A0A0K2S4S8_9CNID	unreviewed	Green fluorescent protein S4 (Fragment)	monGFP	Montipora sp. M5	225	bioluminescence [GO:0008218]	GO:0008218	
BAS22114.1	A0A0K2S5P2	A0A0K2S5P2_9CNID	unreviewed	Green fluorescent protein L2 (Fragment)	monGFP	Montipora sp. M5	219	bioluminescence [GO:0008218]	GO:0008218	
TWW54312.1	A0A5C6MGV7	A0A5C6MGV7_9TELE	unreviewed	RNA-directed DNA polymerase from mobile element jockey	D4764_0104360	Takifugu flavidus (sansaifugu)	1126	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
ABB17952.1	A8CLN4	A8CLN4_MONEF	unreviewed	Red fluorescent GFP-like protein		Montipora efflorescens (Coral)	234	bioluminescence [GO:0008218]; generation of precursor metabolites and energy [GO:0006091]	GO:0006091; GO:0008218	
ABB17966.1	A8CLV1	A8CLV1_MONEF	unreviewed	Green fluorescent GFP-like protein		Montipora efflorescens (Coral)	233	bioluminescence [GO:0008218]	GO:0008218	
PIK59245.1	A0A2G8LG69	A0A2G8LG69_STIJA	unreviewed	Reverse transcriptase domain-containing protein	BSL78_03829	Stichopus japonicus (Sea cucumber)	310			
EDO42174.1	A7S249	A7S249_NEMVE	unreviewed	40S ribosomal protein S29	v1g229213	Nematostella vectensis (Starlet sea anemone)	59	cytosolic small ribosomal subunit [GO:0022627]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0008270; GO:0022627	
PFX27092.1	A0A2B4SEX8	A0A2B4SEX8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene8211	Stylophora pistillata (Smooth cauliflower coral)	191			
PFX22017.1	A0A2B4S0B4	A0A2B4S0B4_STYPI	unreviewed	Hemicentin-1	HMCN1 AWC38_SpisGene13469	Stylophora pistillata (Smooth cauliflower coral)	929			
PFX29623.1	A0A2B4SKK9	A0A2B4SKK9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5605	Stylophora pistillata (Smooth cauliflower coral)	239			
RMX58102.1	A0A3M6UWQ2	A0A3M6UWQ2_9CNID	unreviewed	TPR_REGION domain-containing protein	pdam_00025318	Pocillopora damicornis	1706	ATP binding [GO:0005524]	GO:0005524	
PFX33424.1	A0A2B4SRY6	A0A2B4SRY6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1755	Stylophora pistillata (Smooth cauliflower coral)	304			
PFX31583.1	A0A2B4SR72	A0A2B4SR72_STYPI	unreviewed	Transposable element P transposase	T AWC38_SpisGene3602	Stylophora pistillata (Smooth cauliflower coral)	917	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313; GO:0016021	
RMX59410.1	A0A3M6V0I8	A0A3M6V0I8_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00025613	Pocillopora damicornis	359	integral component of membrane [GO:0016021]	GO:0016021	
PFX15673.1	A0A2B4RFR6	A0A2B4RFR6_STYPI	unreviewed	DDE-1 domain-containing protein	AWC38_SpisGene20105	Stylophora pistillata (Smooth cauliflower coral)	250	nucleic acid binding [GO:0003676]	GO:0003676	
PYX61602.1	A0A2V9X8L4	A0A2V9X8L4_9BACT	unreviewed	Reverse transcriptase domain-containing protein (Fragment)	DMG74_22350	Acidobacteria bacterium	999			
